id,location,bathrooms,bedrooms,parking,size,agent,price
1,Constantia,3.0,5.0,4.0,2000,Seeff Southern Suburbs,13250000
2,Silvertree Estate,4.0,5.0,4.0,603,Stonehurst Properties,10495000
3,Rondebosch,3.0,5.0,2.0,936,Seeff Southern Suburbs,8700000
4,Constantia,5.0,7.0,8.0,2032,Seeff Southern Suburbs,11500000
5,Llandudno,4.0,4.0,4.0,991,Seeff Hout Bay and Llandudno,19800000
6,Retreat,2.0,3.0,2.0,572,Realty Professionals,2195000
7,Costa Da Gama,1.0,3.0,4.0,161,RE/MAX Impact,1720000
8,Tokai,4.0,4.0,4.0,1085,Seeff Southern Suburbs,4950000
9,Wynberg Upper,4.0,4.0,2.0,918,Pam Golding Properties - Southern Suburbs,5550000
10,Green Point,4.0,5.0,2.0,314,Chas Everitt Atlantic Seaboard and City Bowl,14995000
11,Constantia,2.0,3.0,7.0,2670,Seeff Southern Suburbs,8900000
12,Kirstenhof,2.0,3.0,3.0,840,Century 21 Southern Suburbs,2600000
13,Camps Bay,8.5,8.0,8.0,1034,Seeff Camps Bay - Sales,65000000
14,Newlands,2.0,4.0,2.0,894,Alexo Property Brokers,4850000
15,Constantia,4.5,5.0,2.0,2743,Sotheby's International Realty - Tokai,11950000
16,Sea Point,3.5,4.0,,267,RE/MAX Living,7950000
17,Meadowridge,2.0,3.0,2.0,716,Alexo Property Brokers,3250000
18,Silvertree Estate,4.0,5.0,4.0,603,Stonehurst Properties,10495000
19,Southfield,2.0,4.0,4.0,530,Sotheby's International Realty - Claremont,2395000
20,Rondebosch,3.0,4.0,7.0,729,Pam Golding Properties - Southern Suburbs,5175000
21,Constantia,5.0,4.0,3.0,1375,Sotheby's International Realty - Tokai,32000000
22,Newlands,3.5,4.0,2.0,654,Sale,11550000
23,Constantia,5.5,5.0,7.0,1437,Pam Golding Properties - Southern Suburbs,19900000
24,Newlands,2.0,3.0,2.0,495,Alexo Property Brokers,5200000
25,Claremont,2.0,3.0,3.0,312,Eazi Real Estate,2500000
26,Rondebosch,2.5,3.0,5.0,319,Link Property People,3995000
27,Llandudno,5.0,4.0,5.0,993,The Agency Property Group,17995000
